,Person,Institut
274,Wybitul < Tim <  < ,Institut für Öffentliches Recht
275,Zehelein < Kai < Dr. < ,Zentrum für Schlüsselqualifikationen
276,Ziegler < Ole < Dr. < ,Institut für Öffentliches Recht
277,Zink < Sarah < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
278,Zwaack < Hendrik <  < ,Institut für Öffentliches Recht
279,Steffek < Jens < Prof. Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
280,Bauer < Kevin < Prof. Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
281,Berg < Tobias < Prof. Dr. < ,Abteilung Finanzen (FI)
282,Binder < Michael < Prof. < Ph.D.,Abteilung Geld und Währung (GW)
283,Blonski < Matthias < Prof. Dr. < ,Abteilung Management und Mikroökonomie (MM)
284,Böcking < Hans-Joachim < Prof. Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
285,Böing < Philipp < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
286,Bormann < Sara < Prof'in. Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
287,Bornemann < Torsten < Prof. Dr. < ,Abteilung Marketing (MA)
288,Dürnecker < Georg < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
289,Faia < Ester < Prof'in. < Ph.D.,Abteilung Geld und Währung (GW)
290,Friebel < Guido < Prof. < Ph.D.,Abteilung Management und Mikroökonomie (MM)
291,Fuchs-Schündeln < Nicola < Prof'in. < Ph.D.,Gremien und Vertretungen FB 2
292,Gomber < Peter < Prof. Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
293,Götz < Martin < Prof. < Ph.D.,Abteilung Finanzen (FI)
294,Gründl < Helmut < Prof. Dr. < ,Abteilung Finanzen (FI)
295,Gutknecht < Daniel < Prof. < Ph.D.,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
296,Hackethal < Andreas < Prof. Dr. < ,Abteilung Finanzen (FI)
297,Haliassos < Michael < Prof. < Ph.D.,Abteilung Geld und Währung (GW)
298,Haselmann < Rainer < Prof. Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
299,Hassler < Uwe < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
300,Hillert < Alexander < Prof. Dr. < ,LOEWE-Zentren und LOEWE-Schwerpunkte
301,Hinz < Oliver < Prof. Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
302,Holten < Roland < Prof. Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
303,Hombach < Katharina < Prof'in. Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
304,Hommel < Michael < Prof. Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
305,Inderst < Roman Anton < Prof. Dr. < ,Abteilung Finanzen (FI)
306,Kaas < Leo < Prof. Dr. < ,Abteilung Geld und Währung (GW)
307,Kim < Ju-Young < Prof'in. Dr. < ,Abteilung Marketing (MA)
308,Klump < Rainer < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
309,Kosfeld < Michael < Prof. Dr. < ,Gremien und Vertretungen FB 2
